id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
1,1001,10000,10000,10000,36,15.0,350.0,B,B2,Engineer,10+ years,MORTGAGE,85000,Verified,2020-01,Current,n,http://example.com,,debt_consolidation,Consolidate,123xx,CA,17.5,0,2005-06,720,740,1,,12,12,0,5000,45.5,24,w,0,0,10500,10500,10000,500,0,0,2022-12,450,,2023-01,740,720,0,,1,Individual,,,,0,0,12000,3,1,1,2,6,15000,80.0,1,1,2000,45.0,25000,1,2,1,3,5000,4000,80.0,0,0,100,110,20,12,1,9,,4,2,4,4,8,6,12,10,10,0,0,0,3,100.0,25.0,0,0,50000,8000,15000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
2,1002,0,0,0,36,10.0,0.0,C,C1,,1 year,RENT,30000,Verified,2020-01,Charged Off,n,http://example.com,,credit_card,Card Payoff,456xx,NY,43.0,1,2007-05,660,680,3,4,6,8,1,1500,105.0,0,w,0,0,0,0,0,0,0,0,2020-11,0,,2020-12,680,660,0,20,1,Individual,,,,0,0,5000,1,0,0,0,,0,,0,0,1000,35.0,10000,0,1,0,1,2000,0,0,0,0,36,0,3,1,1,2,1,3,2,3,0,0,1,1,85.0,50.0,0,0,20000,2000,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
3,1003,8000,7500,7500,60,25.0,200.0,D,D3,Manager,7 years,OWN,55000,Source Verified,2020-06,Late,n,,Payment overdue,home_improvement,Fix House,789xx,TX,18.0,0,2003-03,685,705,2,,24,15,0,9000,85.0,40,w,1000,1000,3000,2000,500,100,0,50,2022-09,600,,2022-10,705,685,0,24,1,Individual,,,,0,0,8000,2,1,0,1,3,8000,95.0,1,2,3500,70.0,12000,0,1,0,1,3500,200,60.0,0,0,140,150,35,20,1,6,,3,2,3,4,5,4,9,6,6,0,0,0,2,90.0,40.0,0,0,30000,5000,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
4,1004,5000,5000,4000,36,8.5,160.0,A,A1,Analyst,3 years,RENT,60000,Verified,2019-11,Fully Paid,n,,Loan paid off,credit_card,CC Pay,101xx,NJ,12.5,0,2001-09,750,770,0,,36,18,0,0,25.0,45,w,0,0,5000,5000,5000,0,0,0,2022-05,160,,2022-06,770,750,0,,1,Individual,,,,0,0,10000,2,0,1,2,6,2000,30.0,0,0,1000,25.0,8000,0,0,0,0,1000,500,50.0,0,0,180,180,40,24,1,3,,2,2,2,4,5,3,8,6,6,0,0,0,2,100.0,10.0,0,0,20000,2000,8000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
5,1005,12000,12000,12000,36,3.5,350.0,A,A5,CEO,10+ years,OWN,120000,Source Verified,2021-02,Current,n,,Active Loan,small_business,Biz Fund,333xx,CA,5.5,0,1999-11,800,820,1,,12,10,0,3000,5.0,20,w,12000,12000,1000,1000,200,0,0,0,2023-02,350,,2023-02,820,800,0,,1,Individual,,,,0,0,10000,1,1,1,1,6,2500,40.0,1,2,2500,15.0,18000,0,0,0,1,2000,1500,75.0,0,0,240,250,30,10,1,7,,4,3,4,4,10,6,12,10,10,0,0,0,3,100.0,0.0,0,0,60000,3000,9000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
6,1006,7000,7000,7000,36,60.0,210.0,B,B1,Driver,2 years,RENT,45000,Verified,2021-03,Charged Off,n,,Excessive interest,debt_consolidation,Debt Help,112xx,NY,30.0,2,2011-08,580,600,4,12,36,6,2,5000,105.0,18,w,0,0,0,0,0,0,0,0,2021-12,0,,2022-01,600,580,1,48,1,Individual,,,,0,0,3000,1,0,0,0,2,4000,140.0,0,1,1200,95.0,10000,2,0,2,3,1000,500,50.0,1,0,90,90,20,5,0,2,,1,1,1,2,3,2,6,5,5,0,1,1,1,85.0,60.0,0,0,15000,2500,4000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
7,1007,5000,5000,5000,36,9.0,160.0,A,A2,Assistant,4 years,MORTGAGE,52000,Verified,2022-04,Current,n,,Normal use,medical,Medical Pay,445xx,IL,10.5,0,2014-01,710,730,1,,10,10,0,0,30.0,20,w,5000,5000,250,250,100,0,0,0,2023-03,160,,2023-03,730,710,0,,1,Individual,,,,0,0,6000,1,1,1,1,3,1000,40.0,1,1,1000,30.0,12000,0,1,0,1,1500,1000,66.6,0,0,110,110,25,10,1,2,,1,1,2,3,4,3,7,6,6,0,0,0,2,95.0,5.0,0,0,18000,2000,6000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
8,1008,9000,9000,9000,36,19.0,300.0,E,E1,Freelancer,2 years,RENT,40000,Not Verified,2020-02,Late,n,,Delinquent,credit_card,Credit Card Pay,777xx,FL,22.0,3,2010-06,630,650,5,18,30,6,3,9000,120.0,30,w,9000,9000,400,400,150,25,10,25,2023-01,300,,2023-01,650,630,1,36,1,Individual,,,,0,0,7000,2,1,1,1,4,6000,85.0,2,2,2800,90.0,14000,3,1,3,2,1800,800,44.4,0,100,120,120,20,5,0,3,,3,2,2,4,6,5,10,8,8,0,1,1,3,80.0,70.0,0,0,30000,4000,7000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
9,1009,10000,10000,10000,60,12.0,250.0,C,C4,Accountant,6 years,MORTGAGE,72000,Source Verified,2021-05,Current,n,,Ongoing,major_purchase,New Furniture,666xx,GA,15.5,0,2007-10,700,720,0,,20,12,0,4000,35.0,22,w,10000,10000,500,500,200,0,0,0,2023-04,250,,2023-04,720,700,0,,1,Individual,,,,0,0,11000,1,1,0,2,5,2500,60.0,1,1,2200,40.0,16000,1,2,1,2,2000,1500,75.0,0,0,130,130,35,15,1,4,,2,1,2,4,5,4,9,7,7,0,0,0,2,98.0,20.0,0,0,40000,5000,11000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
10,1010,6000,6000,6000,36,10.5,190.0,B,B3,Sales,1 year,RENT,48000,Verified,2020-03,Fully Paid,n,,Paid Off,debt_consolidation,Debt Free,999xx,WA,14.0,0,2006-05,675,695,1,,18,10,0,2500,50.0,20,w,0,0,6000,6000,6000,0,0,0,2022-08,190,,2022-08,695,675,0,,1,Individual,,,,0,0,5000,2,1,1,1,3,2000,40.0,0,0,1100,30.0,10000,0,0,0,1,1500,1000,66.6,0,0,140,140,30,15,0,2,,2,1,1,3,4,3,8,6,6,0,0,0,2,100.0,30.0,0,0,22000,3000,8000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,
